Date,Open,High,Low,Close,Adj Close,Volume
2019-10-16,1773.33,1786.24,1770.52,1777.43,1777.43,2763400
2019-10-17,1796.49,1798.85,1782.02,1787.48,1787.48,2647400
2019-10-18,1787.80,1793.98,1749.20,1757.51,1757.51,3362500
2019-10-21,1769.66,1785.88,1765.00,1785.66,1785.66,2130400
2019-10-22,1788.15,1789.78,1762.00,1765.73,1765.73,2111700
2019-10-23,1761.30,1770.05,1742.00,1762.17,1762.17,2138200
2019-10-24,1771.09,1788.34,1760.27,1780.78,1780.78,4446100
2019-10-25,1697.55,1764.21,1695.00,1761.33,1761.33,9626400
2019-10-28,1748.06,1778.70,1742.50,1777.08,1777.08,3708900
2019-10-29,1774.81,1777.00,1755.81,1762.71,1762.71,2276900
2019-10-30,1760.24,1782.38,1759.12,1779.99,1779.99,2449400
2019-10-31,1775.99,1792.00,1771.48,1776.66,1776.66,2781200
2019-11-01,1788.01,1797.45,1785.21,1791.44,1791.44,2790400
2019-11-04,1801.01,1815.06,1801.01,1804.66,1804.66,2771900
2019-11-05,1809.16,1810.25,1794.00,1801.71,1801.71,1885500
2019-11-06,1801.00,1802.50,1788.58,1795.77,1795.77,2029800
2019-11-07,1803.76,1805.90,1783.48,1788.20,1788.20,2651100
2019-11-08,1787.89,1789.88,1774.04,1785.88,1785.88,2123300
2019-11-11,1778.00,1780.00,1767.13,1771.65,1771.65,1946000
2019-11-12,1774.66,1786.22,1771.91,1778.00,1778.00,2037600
2019-11-13,1773.39,1775.00,1747.32,1753.11,1753.11,2989500
2019-11-14,1751.43,1766.59,1749.56,1754.60,1754.60,2264800
2019-11-15,1760.05,1761.68,1732.86,1739.49,1739.49,3927600
2019-11-18,1738.30,1753.70,1722.71,1752.53,1752.53,2839500
2019-11-19,1756.99,1760.68,1743.03,1752.79,1752.79,2270800
2019-11-20,1749.14,1762.52,1734.12,1745.53,1745.53,2790000
2019-11-21,1743.00,1746.87,1730.36,1734.71,1734.71,2662900
2019-11-22,1739.02,1746.43,1731.00,1745.72,1745.72,2479100
2019-11-25,1753.25,1777.42,1753.24,1773.84,1773.84,3486200
2019-11-26,1779.92,1797.03,1778.35,1796.94,1796.94,3181200
2019-11-27,1801.00,1824.50,1797.31,1818.51,1818.51,3025600
2019-11-29,1817.78,1824.69,1800.79,1800.80,1800.80,1923400
2019-12-02,1804.40,1805.55,1762.68,1781.60,1781.60,3925600
2019-12-03,1760.00,1772.87,1747.23,1769.96,1769.96,3380900
2019-12-04,1774.01,1789.09,1760.22,1760.69,1760.69,2670100
2019-12-05,1763.50,1763.50,1740.00,1740.48,1740.48,2823800
2019-12-06,1751.20,1754.40,1740.13,1751.60,1751.60,3117400
2019-12-09,1750.66,1766.89,1745.61,1749.51,1749.51,2442800
2019-12-10,1747.40,1750.67,1735.00,1739.21,1739.21,2514300
2019-12-11,1741.67,1750.00,1735.71,1748.72,1748.72,2097600
2019-12-12,1750.00,1764.00,1745.44,1760.33,1760.33,3095900
2019-12-13,1765.00,1768.99,1755.00,1760.94,1760.94,2745700
2019-12-16,1767.00,1769.50,1757.05,1769.21,1769.21,3145200
2019-12-17,1778.01,1792.00,1777.39,1790.66,1790.66,3644400
2019-12-18,1795.02,1798.20,1782.36,1784.03,1784.03,3351400
2019-12-19,1780.50,1792.99,1774.06,1792.28,1792.28,2652800
2019-12-20,1799.62,1802.97,1782.45,1786.50,1786.50,5150800
