Date,tmax,tmin,prcp
1871-01-01,NA,NA,0
1871-01-02,NA,NA,0
1871-01-03,NA,NA,0
1871-01-04,NA,NA,0
1871-01-05,NA,NA,0
1871-01-06,NA,NA,0
1871-01-07,NA,NA,0
1871-01-08,NA,NA,0.04
1871-01-09,NA,NA,0.13
1871-01-10,NA,NA,0
1871-01-11,NA,NA,0
1871-01-12,NA,NA,0
1871-01-13,NA,NA,0
1871-01-14,NA,NA,0
1871-01-15,NA,NA,0.09
1871-01-16,NA,NA,0.54
1871-01-17,NA,NA,0
1871-01-18,NA,NA,0
1871-01-19,NA,NA,0
1871-01-20,NA,NA,0
1871-01-21,NA,NA,0
1871-01-22,NA,NA,0
1871-01-23,NA,NA,0
1871-01-24,NA,NA,0.4
1871-01-25,NA,NA,0
1871-01-26,NA,NA,0.29
1871-01-27,NA,NA,0.21
1871-01-28,NA,NA,0
1871-01-29,NA,NA,0.25
1871-01-30,NA,NA,0
1871-01-31,NA,NA,0.01
1871-02-01,NA,NA,0.32
1871-02-02,NA,NA,0
1871-02-03,NA,NA,0
1871-02-04,NA,NA,0
1871-02-05,NA,NA,0
1871-02-06,NA,NA,0
1871-02-07,NA,NA,0
1871-02-08,NA,NA,0.11
1871-02-09,NA,NA,0.13
1871-02-10,NA,NA,0
1871-02-11,NA,NA,0.01
1871-02-12,NA,NA,0.15
1871-02-13,NA,NA,0.25
1871-02-14,NA,NA,0.34
1871-02-15,NA,NA,0
1871-02-16,NA,NA,0.02
1871-02-17,NA,NA,0
1871-02-18,NA,NA,0.46
1871-02-19,NA,NA,0.48
1871-02-20,NA,NA,0
1871-02-21,NA,NA,0.08
1871-02-22,NA,NA,0.03
1871-02-23,NA,NA,0
1871-02-24,NA,NA,0
1871-02-25,NA,NA,0
1871-02-26,NA,NA,0.06
1871-02-27,NA,NA,0.11
1871-02-28,NA,NA,0.09
1871-03-01,NA,NA,0
1871-03-02,NA,NA,0
1871-03-03,NA,NA,0.08
1871-03-04,NA,NA,0
1871-03-05,NA,NA,0
1871-03-06,NA,NA,0.07
1871-03-07,NA,NA,0
1871-03-08,NA,NA,0
1871-03-09,NA,NA,0
1871-03-10,NA,NA,0.19
1871-03-11,NA,NA,0
1871-03-12,NA,NA,0.08
1871-03-13,NA,NA,0
1871-03-14,NA,NA,0.05
1871-03-15,NA,NA,0
1871-03-16,NA,NA,0
1871-03-17,NA,NA,0.04
1871-03-18,NA,NA,0
1871-03-19,NA,NA,0
1871-03-20,NA,NA,0
1871-03-21,NA,NA,0
1871-03-22,NA,NA,0
1871-03-23,NA,NA,0
1871-03-24,NA,NA,0
1871-03-25,NA,NA,0
1871-03-26,NA,NA,0
1871-03-27,NA,NA,0.52
1871-03-28,NA,NA,0
1871-03-29,NA,NA,0
1871-03-30,NA,NA,0
1871-03-31,NA,NA,0
1871-04-01,NA,NA,0.29
1871-04-02,NA,NA,1.03
1871-04-03,NA,NA,0
