date,gdp,biz-apps,prod
2004-09-30,12522.425,574777,89.09
2004-12-31,12761.337,583203,89.82
2005-03-31,12910.022,610664,89.53
2005-06-30,13142.873,618094,89.85
2005-09-30,13332.316,630382,90.22
2005-12-31,13603.933,642871,90.87
2006-03-31,13749.806,670806,90.70
2006-06-30,13867.469,669661,90.53
2006-09-30,14037.228,652251,90.64
2006-12-31,14208.569,651490,90.53
2007-03-31,14382.363,650811,91.22
2007-06-30,14535.003,661710,91.66
2007-09-30,14681.501,669253,92.01
2007-12-31,14651.039,678039,91.52
2008-03-31,14805.611,639539,92.17
2008-06-30,14835.187,649892,92.09
2008-09-30,14559.543,636102,90.83
2008-12-31,14394.547,630516,91.46
2009-03-31,14352.85,600559,92.10
2009-06-30,14420.312,596991,93.03
2009-09-30,14628.021,607473,94.76
2009-12-31,14721.35,596111,94.97
2010-03-31,14926.098,608151,95.41
2010-06-30,15079.917,614928,96.04
2010-09-30,15240.843,619414,96.65
2010-12-31,15285.828,621342,96.22
2011-03-31,15496.189,652784,96.84
2011-06-30,15591.85,617669,96.57
2011-09-30,15796.46,631285,97.12
2011-12-31,16019.758,635376,97.11
2012-03-31,16152.257,618671,97.29
2012-06-30,16257.151,643944,97.16
2012-09-30,16358.863,619285,96.72
2012-12-31,16569.591,660338,97.60
2013-03-31,16637.926,639819,97.37
2013-06-30,16848.748,636583,97.80
2013-09-30,17083.137,646090,98.63
2013-12-31,17104.555,660101,97.64
2014-03-31,17432.909,650733,98.55
2014-06-30,17721.657,676090,99.31
2014-09-30,17849.912,669731,99.25
2014-12-31,18003.399,692632,99.77
2015-03-31,18223.577,704912,100.03
2015-06-30,18347.425,687696,100.24
2015-09-30,18378.803,703158,99.95
2015-12-31,18470.156,691004,99.67
2016-03-31,18656.207,726847,99.84
2016-06-30,18821.359,712970,99.99
2016-09-30,19032.58,756051,100.38
2016-12-31,19237.435,750017,100.66
2017-03-31,19379.232,775431,100.64
2017-06-30,19617.288,790725,100.95
2017-09-30,19937.963,790739,101.89
2017-12-31,20242.215,819236,102.12
2018-03-31,20552.653,859520,102.38
2018-06-30,20742.723,874271,102.72
2018-09-30,20909.853,872926,102.55
2018-12-31,21115.309,862674,103.23
2019-03-31,21329.877,867497,103.51
2019-06-30,21540.325,865909,103.55
2019-09-30,21747.394,859345,103.64
2019-12-31,21561.139,881487,102.90
2020-03-31,19520.114,842582,107.23
